Object_Label,Experiment,Source_File,Condition,Scene,Spot_Count,Volume_um3,Area_um2,Spot_Density_per_um3,Spot_Density_per_um2,Z_Span_um,Centroid_Z_um,Centroid_Y_um,Centroid_X_um,Equivalent_Diameter_um,Eccentricity
1,,P_None_No.nd2,P_None_No,0,5,,59711.8139,,8.373552356613303e-05,,,259.6104,200.0494,275.7307,0.11846481689299253
1,,P_None_No.nd2,P_None_No,1,108,,26401.8731,,0.004090618858402133,,,97.3654,110.8583,183.3464,0.2471359545959309
2,,P_None_No.nd2,P_None_No,1,82,,23571.791,,0.003478734390611218,,,154.9849,285.8596,173.2413,0.17231759532725285
3,,P_None_No.nd2,P_None_No,1,90,,25566.6029,,0.0035202173848446635,,,370.4637,264.6208,180.4229,0.2560680197676442
1,,P_None_No.nd2,P_None_No,2,94,,26251.8245,,0.003580703505007814,,,165.434,90.8584,182.8247,0.26381193772748274
2,,P_None_No.nd2,P_None_No,2,100,,28421.6931,,0.0035184392304904596,,,232.4258,299.7983,190.2304,0.19923913809301907
1,,P_None_No.nd2,P_None_No,3,88,,13988.6913,,0.006290795765862672,,,102.6574,107.2069,133.4577,0.4280547818223377
2,,P_None_No.nd2,P_None_No,3,97,,13889.4926,,0.006983696438270179,,,152.1981,322.1374,132.9837,0.2875022699068473
3,,P_None_No.nd2,P_None_No,3,115,,13222.6102,,0.008697223790201424,,,316.3607,175.86,129.7519,0.377714309346939
1,,P_None_No.nd2,P_None_No,4,89,,48652.4034,,0.0018293032569897667,,,131.6495,174.2388,248.8899,0.40215125812957914
2,,P_None_No.nd2,P_None_No,4,86,,45314.6571,,0.0018978406878422567,,,329.0951,248.6739,240.2008,0.44379566575587226
1,,P_None_No.nd2,P_None_No,5,108,,22388.0748,,0.004823996746696594,,,112.6969,308.1466,168.8354,0.12141290552613199
2,,P_None_No.nd2,P_None_No,5,101,,23064.1268,,0.00437909489814286,,,175.5385,85.6872,171.3656,0.23341063341329524
3,,P_None_No.nd2,P_None_No,5,98,,20500.7977,,0.004780301792841944,,,362.2202,197.2501,161.5625,0.1840591581227207
1,,P_None_No.nd2,P_None_No,6,52,,17939.9694,,0.0028985556686624,,,110.113,53.634,151.1353,0.7188985116075528
2,,P_None_No.nd2,P_None_No,6,110,,23854.3824,,0.004611312007809517,,,128.8218,222.272,174.2766,0.3645411155714757
3,,P_None_No.nd2,P_None_No,6,98,,22312.2169,,0.0043922125909416024,,,293.7245,107.119,168.5491,0.3508566607034019
4,,P_None_No.nd2,P_None_No,6,116,,21708.6884,,0.005343482658307445,,,298.6735,308.2459,166.2539,0.3771158258178373
1,,P_None_No.nd2,P_None_No,7,108,,37242.8796,,0.0028998831765951845,,,121.7961,269.6508,217.7593,0.25030394895007996
2,,P_None_No.nd2,P_None_No,7,108,,35788.2425,,0.0030177508716724495,,,314.3133,142.7,213.4643,0.22912691484682973
1,,P_None_No.nd2,P_None_No,8,102,,18255.0713,,0.005587488447662212,,,154.925,93.552,152.4568,0.3363009720996451
2,,P_None_No.nd2,P_None_No,8,105,,16781.2613,,0.006256979026957885,,,241.8104,274.0207,146.1731,0.19881109239672337
1,,P_None_No.nd2,P_None_No,9,112,,41729.3308,,0.0026839634821078893,,,192.4519,211.3187,230.5026,0.23770370945741184
