Object_Label,Experiment,Source File,Condition,Scene,Spot_Count,Volume_um3,Area_um2,Spot_Density_per_um3,Spot_Density_per_um2,Z_Span_um,Centroid_Z_um,Centroid_Y_um,Centroid_X_um,Equivalent_Diameter_um
1,nikon_cellpose_bags_spots,allON_HP.nd2,allON_HP,0,999,352062.6254,,0.0028375633422178075,,27.9,13.4086,212.8987,225.5039,55.454
1,nikon_cellpose_bags_spots,allON_HP.nd2,allON_HP,1,1127,486154.9979,,0.0023181907105104347,,27.9,13.3449,117.9361,142.4935,61.752
2,nikon_cellpose_bags_spots,allON_HP.nd2,allON_HP,1,1128,477464.9371,,0.002362477141989072,,27.9,13.3114,266.7415,228.4855,61.3819
1,nikon_cellpose_bags_spots,allON_HP.nd2,allON_HP,2,1189,659442.298,,0.001803038724701278,,27.9,13.4232,201.5635,185.7924,68.3573
1,nikon_cellpose_bags_spots,allON_HP.nd2,allON_HP,3,1163,653218.2849,,0.001780415562277228,,27.9,13.4407,226.2203,195.8674,68.1416
1,nikon_cellpose_bags_spots,allON_HP.nd2,allON_HP,4,1167,572120.0535,,0.0020397816732008675,,27.9,13.3282,224.3049,159.2582,65.1961
1,nikon_cellpose_bags_spots,allON_HP.nd2,allON_HP,5,1174,830521.634,,0.0014135694386980895,,27.9,13.4248,237.0002,172.7465,73.8204
1,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,0,2,1563625.0079,,1.2790790566122155e-06,,26.1,12.6221,259.6034,200.206,91.1529
1,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,1,133,690121.9714,,0.0001927195561245393,,26.1,12.6486,97.3307,111.0973,69.4014
2,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,1,130,620614.9893,,0.000209469642598592,,26.1,12.6591,155.029,285.8432,66.9885
3,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,1,109,665957.4054,,0.0001636741315828305,,26.1,12.6516,370.3019,265.0497,68.5817
1,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,2,130,684046.5063,,0.0001900455580179315,,26.1,12.6351,165.5629,91.0569,69.1971
2,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,2,130,740762.6013,,0.0001754948208398436,,26.1,12.6681,232.4909,299.9369,71.059
1,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,3,106,355243.6543,,0.00029838675150685163,,26.1,12.8078,103.7242,106.4364,55.6205
2,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,3,109,358818.5606,,0.0003037746983259037,,26.1,12.7487,152.4991,322.056,55.8065
3,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,3,132,342044.6351,,0.00038591454580601313,,26.1,12.7021,316.2589,176.1796,54.9229
1,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,4,135,1245641.4054,,0.00010837790026468238,,26.1,12.6036,132.746,175.0879,84.5001
2,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,4,133,1190352.272,,0.00011173163031523159,,26.1,12.5984,328.5577,248.8183,83.2309
1,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,5,137,585610.1669,,0.00023394402581025273,,26.1,12.6809,112.9503,308.3719,65.7046
2,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,5,130,603267.1281,,0.00021549325985892385,,26.1,12.6287,175.3829,86.0349,66.3584
3,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,5,116,537790.4495,,0.0002156973968352333,,26.1,12.6433,362.183,197.4955,63.8651
1,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,6,128,622101.9702,,0.00020575405019027538,,26.1,12.6558,128.5806,222.5182,67.042
2,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,6,138,584742.8863,,0.00023600116090886423,,26.1,12.5944,293.906,107.188,65.6721
3,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,6,140,564427.0651,,0.00024803913323184827,,26.1,12.665,298.5786,308.5626,64.9026
4,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,6,56,259041.5375,,0.00021618154578780633,,24.3,13.8441,425.2391,220.7473,50.0629
5,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,6,0,15427.24,,0.0,,7.2,5.0373,445.6706,56.8634,19.5504
1,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,7,136,976559.3702,,0.00013926444633074087,,26.1,12.6448,121.6666,269.6981,77.9158
2,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,7,141,938968.4614,,0.0001501647880587696,,26.1,12.5864,314.3457,142.7011,76.903
1,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,8,131,477585.7261,,0.0002742963050209971,,26.1,12.6262,154.9649,93.6868,61.387
2,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,8,112,438753.9159,,0.0002552683769676641,,26.1,12.649,241.8088,274.2669,59.676
1,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,9,152,1091690.1095,,0.00013923365126905548,,26.1,12.6232,192.4843,211.4269,80.8648
2,nikon_cellpose_bags_spots,P_None_No.nd2,P_None_No,9,77,307468.9515,,0.00025043179034615464,,26.1,12.8582,413.1001,159.5587,53.0062
1,nikon_cellpose_bags_spots,None_0.nd2,None,0,12,370898.9681,,3.235382417339219e-05,,26.1,12.6351,185.0132,221.4878,56.4258
1,nikon_cellpose_bags_spots,None_0.nd2,None,1,18,1222593.2004,,1.4722803949924537e-05,,26.1,12.6325,253.7763,208.889,83.9757
1,nikon_cellpose_bags_spots,None_0.nd2,None,2,3,1452569.5868,,2.065305529774293e-06,,26.1,12.6172,213.0677,188.3205,88.9416
1,nikon_cellpose_bags_spots,None_0.nd2,None,3,10,1397594.0548,,7.15515350516501e-06,,26.1,12.6303,252.0495,202.6882,87.8051
1,nikon_cellpose_bags_spots,None_0.nd2,None,4,8,1296494.3539,,6.170485799598822e-06,,26.1,12.6173,219.7198,172.8981,85.6347
