ROI,Spot_Count,ROI_Area_pixels,ROI_Area_um2,ROI_Volume_um3,Spots_per_Area,Spots_per_Volume,Experiment,Condition,Image_Number
1,439,269420,14036.831910173927,280736.63820347853,0.031274863360144095,0.0015637431680072048,nikon_cellpose_bags_spots,allON_HP,1
1,618,359460,18727.932590123673,374558.65180247347,0.032998837272935684,0.0016499418636467841,nikon_cellpose_bags_spots,allON_HP,2
2,596,350730,18273.097972887317,365461.95945774636,0.032616253734550876,0.0016308126867275437,nikon_cellpose_bags_spots,allON_HP,2
1,723,478600,24935.14866086126,498702.9732172252,0.02899521514122096,0.001449760757061048,nikon_cellpose_bags_spots,allON_HP,3
1,698,480730,25046.122055444703,500922.44110889407,0.02786858574173018,0.001393429287086509,nikon_cellpose_bags_spots,allON_HP,4
1,680,418230,21789.860477292114,435797.20954584226,0.031207175498376826,0.0015603587749188413,nikon_cellpose_bags_spots,allON_HP,5
1,801,604300,31484.141946841748,629682.838936835,0.025441379388786243,0.0012720689694393121,nikon_cellpose_bags_spots,allON_HP,6
1,120,535884,27919.655672747547,558393.113454951,0.004298047275602053,0.00021490236378010264,nikon_cellpose_bags_spots,P_None_No,2
2,102,482884,25158.345854474155,503166.9170894831,0.004054320605575916,0.0002027160302787958,nikon_cellpose_bags_spots,P_None_No,2
3,97,520545,27120.490931191027,542409.8186238206,0.0035766314203568195,0.00017883157101784096,nikon_cellpose_bags_spots,P_None_No,2
2,114,565443,29459.685048565345,589193.7009713069,0.0038696951380188527,0.00019348475690094264,nikon_cellpose_bags_spots,P_None_No,3
1,90,264842,13798.317262097406,275966.3452419481,0.006522534472172268,0.00032612672360861345,nikon_cellpose_bags_spots,P_None_No,4
2,108,281352,14658.491320582194,293169.8264116439,0.0073677432170905395,0.00036838716085452693,nikon_cellpose_bags_spots,P_None_No,4
3,122,269392,14035.373104986915,280707.4620997383,0.008692323252643146,0.00043461616263215734,nikon_cellpose_bags_spots,P_None_No,4
3,114,415863,21666.53933880432,433330.7867760864,0.0052615693820484005,0.00026307846910242,nikon_cellpose_bags_spots,P_None_No,6
3,115,481085,25064.61762120861,501292.3524241722,0.004588141009687373,0.00022940705048436866,nikon_cellpose_bags_spots,P_None_No,7
4,123,454233,23665.623446863756,473312.4689372751,0.005197412199013939,0.000259870609950697,nikon_cellpose_bags_spots,P_None_No,7
5,130,439263,22885.683673664647,457713.67347329296,0.005680407098766095,0.0002840203549383048,nikon_cellpose_bags_spots,P_None_No,7
1,122,750146,39082.74556487763,781654.9112975526,0.0031215821262474803,0.00015607910631237402,nikon_cellpose_bags_spots,P_None_No,8
2,131,717457,37379.64260922595,747592.8521845189,0.0035045813939287612,0.00017522906969643807,nikon_cellpose_bags_spots,P_None_No,8
1,120,375462,19561.639754501237,391232.7950900247,0.006134455061334383,0.0003067227530667192,nikon_cellpose_bags_spots,P_None_No,9
2,107,348404,18151.912941994793,363038.25883989583,0.005894695525585817,0.0002947347762792909,nikon_cellpose_bags_spots,P_None_No,9
1,7,286682,14936.185307967047,298723.7061593409,0.0004686604950104736,2.3433024750523683e-05,nikon_cellpose_bags_spots,None_0,1
1,6,947638,49372.1153503578,987442.3070071561,0.00012152608729487054,6.076304364743527e-06,nikon_cellpose_bags_spots,None_0,5
