Condition,Source_File,Scene,FOV_ID,Object_Label,Spot_Count,Volume_um3,Area_um2,Z_Span_um,Thickness_mask_um,Thickness_BF_um
P_None_No,P_None_No.nd2,0,P_None_No_S00,1,4,,59413.8009,,,
P_None_No,P_None_No.nd2,1,P_None_No_S01,1,0,,691.9426,,,
P_None_No,P_None_No.nd2,1,P_None_No_S01,2,131,,26493.3089,,,
P_None_No,P_None_No.nd2,1,P_None_No_S01,3,103,,23527.2454,,,
P_None_No,P_None_No.nd2,1,P_None_No_S01,4,102,,25309.9053,,,
P_None_No,P_None_No.nd2,2,P_None_No_S02,1,117,,26350.1897,,,
P_None_No,P_None_No.nd2,2,P_None_No_S02,2,125,,28162.5467,,,
P_None_No,P_None_No.nd2,3,P_None_No_S03,1,103,,14179.899,,,
P_None_No,P_None_No.nd2,3,P_None_No_S03,2,109,,13847.604,,,
P_None_No,P_None_No.nd2,3,P_None_No_S03,3,131,,13038.2277,,,
P_None_No,P_None_No.nd2,4,P_None_No_S04,1,0,,84.5065,,,
P_None_No,P_None_No.nd2,4,P_None_No_S04,2,0,,7.7108,,,
P_None_No,P_None_No.nd2,5,P_None_No_S05,1,125,,22594.0268,,,
P_None_No,P_None_No.nd2,5,P_None_No_S05,2,123,,23045.9959,,,
P_None_No,P_None_No.nd2,5,P_None_No_S05,3,117,,20275.9333,,,
P_None_No,P_None_No.nd2,6,P_None_No_S06,1,1,,746.4915,,,
P_None_No,P_None_No.nd2,6,P_None_No_S06,2,68,,18194.3225,,,
P_None_No,P_None_No.nd2,6,P_None_No_S06,3,122,,23923.8841,,,
P_None_No,P_None_No.nd2,6,P_None_No_S06,4,129,,22267.5671,,,
P_None_No,P_None_No.nd2,6,P_None_No_S06,5,134,,21488.0962,,,
P_None_No,P_None_No.nd2,7,P_None_No_S07,1,0,,621.8678,,,
P_None_No,P_None_No.nd2,7,P_None_No_S07,2,123,,37251.8409,,,
P_None_No,P_None_No.nd2,7,P_None_No_S07,3,134,,35494.2411,,,
P_None_No,P_None_No.nd2,8,P_None_No_S08,1,123,,18311.2874,,,
P_None_No,P_None_No.nd2,8,P_None_No_S08,2,111,,16561.4506,,,
P_None_No,P_None_No.nd2,9,P_None_No_S09,1,145,,41442.884,,,
